id,phase,category,decision_point,safe_default
1,Pre-provisioning,"Performance, Resilience",HCP or Classic?,HCP for new deployments
2,Pre-provisioning,"Resilience, Availability",AZs and CIDR ranges,3 AZs; ROSA defaults; `/22`+ machine CIDR at scale
3,Pre-provisioning,"Security, Compliance",Private or public API / ingress?,Private API + edge VPC for internet workloads
4,Pre-provisioning,"Security, Compliance",Egress model,Zero-egress or firewall/proxy via TGW
5,Pre-provisioning,"Security, Compliance","STS roles, OIDC, IAM scoping",STS always; reusable OIDC; least-privilege roles
6,Pre-provisioning,"Security, Compliance",AWS-managed or CMK in KMS?,CMK for regulated / multi-tenant estates
7,Pre-provisioning,"Performance, Resilience",EC2 families and pool layout,Current-gen GP; evaluate Graviton; multiple pools
8,Pre-provisioning,"Availability, Resilience",Quotas reviewed and raised?,"Review during architecture review, not cutover"
9,Day-1 configuration,"Security, Compliance","IdP, admin model, break-glass",External IdP + MFA; remove kubeadmin; vault for break-glass
10,Day-1 configuration,"Security, Compliance",SCC baseline and enforcement,`restricted` for all; custom SCCs over `privileged`
11,Day-1 configuration,"Security, Resilience",Project template with defaults?,Auto-create quota + NetworkPolicy + LimitRange
12,Day-1 configuration,Security,NetworkPolicy and EgressFirewall,Default-deny per namespace
13,Day-1 configuration,"Resilience, Compliance","Monitoring, logging, metrics",User workload monitoring + log forwarding to CloudWatch/SIEM
14,Day-1 configuration,"Resilience, Security",GitOps / CI / CD operators,OpenShift GitOps + Pipelines or external CI
15,Day-1 configuration,"Security, Compliance",Secret delivery mechanism,ESO + Secrets Manager via IRSA
16,Day-1 configuration,"Compliance, Security",Compliance profiles,Compliance Operator with regulatory profiles
17,Workload onboarding,"Availability, Resilience",Probe design per workload,Distinct liveness (`/livez`) and readiness (`/readyz`)
18,Workload onboarding,"Availability, Resilience",SIGTERM handling and grace period,Handle SIGTERM; tune `terminationGracePeriodSeconds`
19,Workload onboarding,"Performance, Resilience","Requests, limits, QoS",Always set requests; VPA recommend-only to inform sizing
20,Workload onboarding,"Availability, Resilience","Topology spread, replica count",`topologySpreadConstraints` + 3+ replicas for tier-1
21,Workload onboarding,"Availability, Resilience",PDB policy,`maxUnavailable: 1`
22,Workload onboarding,"Performance, Resilience",Storage tier per workload,EBS gp3 (RWO); EFS only for RWX; S3 for objects
23,Workload onboarding,"Availability, Resilience",Managed vs in-cluster state,Managed AWS services for tier-1 data
24,Workload onboarding,"Security, Compliance",IRSA wiring per app,Dedicated SA + IAM role per app; no static keys
25,Workload onboarding,Security,SA and RBAC scoping,Dedicated SA; `automountServiceAccountToken: false`
26,Workload onboarding,"Security, Compliance",Image pinning and rebuild,Pin by digest; rebuild on CVE
27,Workload onboarding,"Security, Compliance",TLS mode and cert source,TLS always; cert-manager + External DNS
28,Steady-state operations,"Resilience, Availability",Upgrade sequencing,"Control plane first, then pools; verify ClusterOperators"
29,Steady-state operations,"Performance, Availability",CA / HPA / VPA,CA per AZ + HPA + VPA recommend-only
30,Steady-state operations,"Performance, Compliance","Savings Plans, tagging",Savings Plans for production; consistent FinOps tags
31,Steady-state operations,"Resilience, Availability","RPO, RTO, backup scope",Workload-scoped backup; rehearse restores
32,Steady-state operations,"Resilience, Availability",Multi-Region posture,Hot/warm + Aurora Global / S3 CRR / Route 53
33,Steady-state operations,"Resilience, Security, Compliance",Health check tooling,Insights + health scripts + Compliance Operator
34,Steady-state operations,"Compliance, Resilience",IaC tooling,Terraform / CloudFormation / ROSA CLI in Git
